county,geo_id,acs_name,population_25_plus,pct_high_school_or_higher,pct_bachelors_or_higher,population_16_plus,unemployment_rate,median_household_income,mean_household_income,per_capita_income,poverty_rate_all_people,pct_no_health_insurance,income_quartile,lower_income_group,avg_days_with_aqi_2020_2024,avg_good_days_2020_2024,avg_moderate_days_2020_2024,avg_usg_days_2020_2024,avg_unhealthy_days_2020_2024,avg_very_unhealthy_days_2020_2024,avg_hazardous_days_2020_2024,avg_bad_aqi_days_2020_2024,avg_bad_aqi_day_pct_2020_2024,avg_max_aqi_2020_2024,avg_aqi_90th_percentile_2020_2024,avg_median_aqi_2020_2024,avg_days_co_main_pollutant_2020_2024,avg_days_no2_main_pollutant_2020_2024,avg_days_ozone_main_pollutant_2020_2024,avg_days_pm25_main_pollutant_2020_2024,avg_days_pm10_main_pollutant_2020_2024,avg_pct_days_co_main_pollutant_2020_2024,avg_pct_days_no2_main_pollutant_2020_2024,avg_pct_days_ozone_main_pollutant_2020_2024,avg_pct_days_pm25_main_pollutant_2020_2024,avg_pct_days_pm10_main_pollutant_2020_2024
Solano,0500000US06095,"Solano County, California",315641,88.6,28.8,364721,6.5,100401,126026,45127,10.0,4.8,Q3,False,365.2,249.0,112.2,2.6,1.2,0.2,0.0,4.0,1.0934950220824913,126.4,62.6,42.8,0.0,0.6,215.2,149.0,0.4,0.0,0.1643835616438356,58.94019013399206,40.78598697507299,0.10943932929111462
Sonoma,0500000US06097,"Sonoma County, California",354661,88.7,38.5,404334,5.7,104674,142354,56640,8.9,5.1,Q3,False,365.4,306.0,57.6,0.6,1.2,0.0,0.0,1.8,0.4921027022980763,111.8,52.4,32.2,0.4,0.2,159.2,177.4,28.2,0.10943932929111462,0.054644808743169404,43.58499887716146,48.54450183396961,7.706415150834644
Stanislaus,0500000US06099,"Stanislaus County, California",354367,79.9,19.6,424141,8.0,81468,105867,34849,13.5,5.6,Q2,True,365.4,131.0,200.8,29.2,4.4,0.0,0.0,33.6,9.194251066696609,166.6,99.2,57.0,0.0,0.2,169.2,184.4,11.6,0.0,0.054644808743169404,46.29882476233251,50.472939591286774,3.1735908376375477
Sutter,0500000US06101,"Sutter County, California",65188,80.2,20.9,77089,7.2,79704,108245,36107,14.4,6.4,Q2,True,364.6,161.0,190.4,9.0,3.6,0.4,0.2,13.2,3.616018854468929,174.0,82.0,52.4,0.0,0.0,169.4,194.2,1.0,0.0,0.0,46.46276475635641,53.263710953725855,0.2735242899177326
Tehama,0500000US06103,"Tehama County, California",44633,87.2,19.3,51339,5.9,63784,93910,36168,15.6,6.6,Q1 lowest income,True,365.4,232.4,117.0,8.8,6.8,0.4,0.0,16.0,4.378321730668463,152.8,81.2,44.8,0.0,0.0,263.2,101.4,0.8,0.0,0.0,72.03563140953665,27.745340220076354,0.219028370387005
Trinity,0500000US06105,"Trinity County, California",12461,92.2,22.4,13476,8.4,53002,76682,31301,20.7,9.3,Q1 lowest income,True,338.4,222.0,96.6,5.6,8.0,3.0,3.2,19.8,5.922190010957305,411.4,89.6,34.0,0.0,0.0,0.0,338.4,0.0,0.0,0.0,0.0,100.0,0.0
Tulare,0500000US06107,"Tulare County, California",287690,74.8,16.6,353108,9.3,71300,92173,28185,17.9,8.1,Q2,True,365.4,65.8,184.4,89.2,24.6,1.2,0.2,115.2,31.52481473164159,359.0,140.2,75.6,0.0,0.0,189.6,166.6,9.2,0.0,0.0,51.88876412905157,45.59383187364324,2.5174039973051876
Tuolumne,0500000US06109,"Tuolumne County, California",41675,93.3,24.6,46170,8.2,77404,104076,44142,10.4,5.3,Q2,True,321.4,266.4,52.2,2.8,0.0,0.0,0.0,2.8,0.8383169651390115,122.8,60.2,40.8,0.0,0.0,321.4,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Ventura,0500000US06111,"Ventura County, California",580810,85.1,36.1,678019,5.7,109797,144867,49748,9.3,7.3,Q4 highest income,False,365.4,184.8,165.8,13.6,1.2,0.0,0.0,14.8,4.048656336552137,149.6,82.8,50.2,0.0,0.2,236.2,123.6,5.4,0.0,0.0547945205479452,64.63956883000225,33.82783142450782,1.4778052249419866
Yolo,0500000US06113,"Yolo County, California",131208,88.6,44.8,182051,6.1,91752,123254,43733,16.7,4.8,Q3,False,365.4,244.8,112.8,4.6,3.0,0.2,0.0,7.8,2.1326446590313646,139.0,69.2,43.4,0.0,0.2,217.8,147.2,0.2,0.0,0.054644808743169404,59.6156897971405,40.27487087356838,0.0547945205479452
